trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,0.01,db,0.05,0.2541456,14.038208,14.038208,14.3423501,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,down,0.01,db,0.049942468,0.0006358,16.4925162,16.4925162,16.7924113,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,down,0.01,db,0.049885003,0.0006524,18.9922749,18.9922749,19.2923123,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,down,0.01,db,0.049827604,0.0006699,21.3587578,21.3587578,21.6587069,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,down,0.01,db,0.049770271,0.0006212,23.8086145,23.8086145,24.108567,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,down,0.01,db,0.049713004,0.0006458,26.1752352,26.1752352,26.4750946,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,down,0.01,db,0.049655802,0.0006587,28.5584145,28.5584145,28.8582081,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,down,0.01,db,0.049598667,0.0007395,31.1250291,31.1250291,31.4248314,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,down,0.01,db,0.049541597,0.0006414,33.6081123,33.6081123,33.9079751,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,down,0.01,db,0.049484593,0.0006531,36.0247002,36.0247002,36.3246053,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,11,10,down,0.01,db,0.049427655,0.0006253,38.4578554,38.4578554,38.7577469,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,12,11,down,0.01,db,0.049370782,0.0006441,40.8909798,40.8909798,41.1909974,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,13,12,down,0.01,db,0.049313974,0.0006346,43.3910144,43.3910144,43.6907858,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,14,13,down,0.01,db,0.049257232,0.0006247,45.8074735,45.8074735,46.1076005,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,15,14,down,0.01,db,0.049200555,0.0006259,48.3571703,48.3571703,48.6571943,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,16,15,down,0.01,db,0.049143944,0.0006249,50.8072766,50.8072766,51.107196,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,17,16,down,0.01,db,0.049087397,0.0006743,53.390363,53.390363,53.690225,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,18,17,down,0.01,db,0.049030916,0.0006574,55.8403221,55.8403221,56.1400607,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,19,18,down,0.01,db,0.048974499,0.0006368,58.2237102,58.2237102,58.523441,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,down,0.01,db,0.048918148,0.0006608,60.573272,60.573272,60.8730562,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,down,0.01,db,0.048861861,0.0006238,63.2231651,63.2231651,63.5230017,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,down,0.01,db,0.048805639,0.0006434,65.5730553,65.5730553,65.8728527,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,down,0.01,db,0.048749482,0.0006252,68.0563386,68.0563386,68.3561486,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,down,0.01,db,0.048693389,0.0006505,70.4727214,70.4727214,70.7728048,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,down,0.01,db,0.048637361,0.0006616,73.0060741,73.0060741,73.3058131,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,down,0.01,db,0.048581398,0.0006492,75.505786,75.505786,75.8057306,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,down,0.01,db,0.048525498,0.0006568,78.0390084,78.0390084,78.3390045,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,down,0.01,db,0.048469663,0.0006395,80.4888461,80.4888461,80.7887129,1,1,922019,1,2022-09-08_16h29.40.311,staircase method,2022.2.3,59.9704106
